species,decimalLatitude,decimalLongitude,eventDate,month,day,basisOfRecord
Numenius madagascariensis,-17.96174,122.3665,2021-02-08 09:46:44,,,MachineObservation
Numenius madagascariensis,-21.07614,149.20854,2020-10-09 20:17:53,,,MachineObservation
Numenius madagascariensis,-38.37007,145.547,2019-12-06 15:27:00,,,MachineObservation
Numenius madagascariensis,34.00278,126.45042,2019-10-14 14:58:33,,,MachineObservation
Numenius madagascariensis,-12.3375,130.90889,1998-10-04,,,HumanObservation
Numenius madagascariensis,-12.507,130.95,1985-03-02,,,HumanObservation
Numenius madagascariensis,39.83675,124.18609,2019-08-01 16:56:15,,,MachineObservation
Numenius madagascariensis,-27.048,153.109,2018-01-21 09:15:00,,,HumanObservation
Numenius madagascariensis,-27.3757,153.184,2019-12-17,,,HumanObservation
Numenius madagascariensis,-12.45669,130.87561,2019-01-01 15:43:00,,,MachineObservation
Numenius madagascariensis,-12.45988,130.84862,2020-01-15 15:47:00,,,MachineObservation
Numenius madagascariensis,30.20994,120.90224,2018-04-30 19:22:33,,,MachineObservation
Numenius madagascariensis,-27.04111,153.11169,2018-12-30 11:22:14,,,MachineObservation
Numenius madagascariensis,-12.4603,130.88001,2017-12-09 23:53:39,,,MachineObservation
Numenius madagascariensis,39.48545,125.35456,2020-07-12 17:03:21,,,MachineObservation
Numenius madagascariensis,-27.516,153.37966,2019-10-08 21:51:00,,,MachineObservation
Numenius madagascariensis,-8.22571,143.75341,2019-03-09 12:37:10,,,MachineObservation
Numenius madagascariensis,-27.2991,153.037,2016-08-29 11:10:00,,,HumanObservation
Numenius madagascariensis,63.7937895025,121.7516300681,2026-07-17T15:00:31+09:00,,,HumanObservation
Numenius madagascariensis,-27.4842,153.243,2016-11-26 06:00:00,,,HumanObservation
Numenius madagascariensis,-34.0217,151.13,2001-12-29,,,HumanObservation
Numenius madagascariensis,-27.41909,153.1651,2019-02-05 11:53:42,,,MachineObservation
Numenius madagascariensis,38.25008,117.88566,2019-07-15 09:03:03,,,MachineObservation
Numenius madagascariensis,-18.16878,122.30698,2019-12-04 21:12:00,,,MachineObservation
Numenius madagascariensis,-12.4601,130.84882,2019-12-12 15:33:27,,,MachineObservation
Numenius madagascariensis,-18.00631,122.3698,2019-11-07 09:57:24,,,MachineObservation
Numenius madagascariensis,-27.4464,153.186,2018-04-21 08:11:00,,,HumanObservation
Numenius madagascariensis,-18.20524,122.21101,2019-10-06 09:47:41,,,MachineObservation
Numenius madagascariensis,-17.99658,122.37014,2019-11-21 21:11:00,,,MachineObservation
Numenius madagascariensis,-27.4546,153.194,2013-11-09 12:30:00,,,HumanObservation
Numenius madagascariensis,47.79021,133.70882,2020-04-17 20:17:16,,,MachineObservation
Numenius madagascariensis,-18.02269,122.3689,2019-03-03 09:55:00,,,MachineObservation
Numenius madagascariensis,-27.4829,153.198,2011-09-11,,,HumanObservation
Numenius madagascariensis,51.09255,130.09998,2019-06-02 17:20:00,,,MachineObservation
Numenius madagascariensis,-27.2769,153.038,2018-01-11 11:08:00,,,HumanObservation
Numenius madagascariensis,37.55709,126.51779,2020-05-04 16:24:33,,,MachineObservation
Numenius madagascariensis,-26.9734,153.04273,1993-02-20,,,HumanObservation
Numenius madagascariensis,-16.8837,145.761,2017-01-10 15:21:00,,,HumanObservation
Numenius madagascariensis,-21.01501,149.0176,2020-11-10 11:25:37,,,MachineObservation
Numenius madagascariensis,-27.41811,153.1857,2019-10-28 19:09:08,,,MachineObservation
Numenius madagascariensis,-38.24363,145.47662,2019-01-25 01:28:49,,,MachineObservation
Numenius madagascariensis,-16.8617,145.762,2019-08-11,,,HumanObservation
Numenius madagascariensis,-12.3379,130.908,2016-10-15 11:42:00,,,HumanObservation
Numenius madagascariensis,-27.0448,153.107,2014-01-27 17:02:00,,,HumanObservation
Numenius madagascariensis,52.88677,128.75565,2019-05-05 19:53:00,,,MachineObservation
Numenius madagascariensis,-17.05833,140.94167,2013-04-03,,,HumanObservation
Numenius madagascariensis,-17.99176,122.36175,2019-03-15 16:04:00,,,MachineObservation
Numenius madagascariensis,-27.58363,153.32523,2018-12-25 19:12:26,,,MachineObservation
Numenius madagascariensis,51.08611,130.10771,2019-04-30 20:03:14,,,MachineObservation
Numenius madagascariensis,-27.3757,153.184,2018-12-24 13:00:00,,,HumanObservation
Numenius madagascariensis,40.78292,121.93633,2019-07-20 17:17:03,,,MachineObservation
Numenius madagascariensis,-38.7616,146.341,2010-11-07,,,HumanObservation
Numenius madagascariensis,-27.50838,153.38895,2021-01-12 10:07:04,,,MachineObservation
Numenius madagascariensis,-18.00581,122.36692,2021-09-27 09:41:27,,,MachineObservation
Numenius madagascariensis,-12.46102,130.88089,2019-01-11 03:04:00,,,MachineObservation
Numenius madagascariensis,-38.3368,145.53816,2020-03-02 08:54:06,,,MachineObservation
Numenius madagascariensis,24.71264,121.83315,2019-04-06 16:08:00,,,MachineObservation
Numenius madagascariensis,-17.4446,140.839,2018-10-02 06:22:00,,,HumanObservation
Numenius madagascariensis,-17.9893,122.3635,2019-02-27 16:16:33,,,MachineObservation
Numenius madagascariensis,-37.9979,144.592,2016-01-23 08:30:00,,,HumanObservation
Numenius madagascariensis,-25.81084,152.93976,2019-04-15 13:31:00,,,MachineObservation
Numenius madagascariensis,32.91099,120.89989,2020-03-30 10:54:20,,,MachineObservation
Numenius madagascariensis,35.20385,126.33254,2019-04-23 09:00:00,,,MachineObservation
Numenius madagascariensis,-27.48167,153.25709,2021-03-15 11:11:23,,,MachineObservation
Numenius madagascariensis,-27.48407,153.40985,2018-11-20 17:56:35,,,MachineObservation
Numenius madagascariensis,-12.48672,130.89189,2018-03-03 09:36:20,,,MachineObservation
Numenius madagascariensis,-38.22911,145.47292,2021-01-22 09:38:15,,,MachineObservation
Numenius madagascariensis,49.11274,133.39587,2019-05-19 19:27:09,,,MachineObservation
Numenius madagascariensis,37.53916,126.55106,2019-10-01 21:18:03,,,MachineObservation
Numenius madagascariensis,-19.96453,119.85944,2012,,,HumanObservation
Numenius madagascariensis,51.08556,130.10663,2019-05-15 19:38:12,,,MachineObservation
Numenius madagascariensis,-12.45987,130.84924,2019-10-23 09:13:00,,,MachineObservation
Numenius madagascariensis,51.07438,128.48413,2020-04-27 16:34:33,,,MachineObservation
Numenius madagascariensis,-12.23192,131.21788,1992-08-21,,,HumanObservation
Numenius madagascariensis,-12.40523,130.81721,2019-01-24,,,HumanObservation
Numenius madagascariensis,-15.4601,145.212,2015-12-28 17:45:00,,,HumanObservation
Numenius madagascariensis,-32.8834,151.79,2016-02-18 14:06:00,,,HumanObservation
Numenius madagascariensis,-9.22972,142.22083,2008-11-15,,,HumanObservation
Numenius madagascariensis,-27.4446652497,153.1807134381,2024-09-13T14:15:00+10:00,,,HumanObservation
Numenius madagascariensis,-38.22439,145.45894,2019-12-28 15:42:00,,,MachineObservation
Numenius madagascariensis,-15.9552,136.23221,2020-10-04 23:41:22,,,MachineObservation
Numenius madagascariensis,-38.23199,145.47897,2019-02-13 01:49:00,,,MachineObservation
Numenius madagascariensis,-8.17033,139.50491,2020-10-10 20:26:14,,,MachineObservation
Numenius madagascariensis,55.01473,155.64977,2019-06-09 17:10:03,,,MachineObservation
Numenius madagascariensis,-27.1956,153.036,2002-03-24,,,HumanObservation
Numenius madagascariensis,39.50556,125.37075,2019-07-09 11:05:00,,,MachineObservation
Numenius madagascariensis,-27.4546,153.194,2001-12-01 05:15:00,,,HumanObservation
Numenius madagascariensis,55.01801,155.62997,2018-07-11 10:08:13,,,MachineObservation
Numenius madagascariensis,49.11242,133.39543,2019-04-30 07:57:00,,,MachineObservation
Numenius madagascariensis,38.25297,117.8774,2019-09-07 09:48:15,,,MachineObservation
Numenius madagascariensis,-38.7331,146.5359,1978-04-06,,,HumanObservation
