farm_id,theta_deg,risk_score,country,group,evidence
0,0.0,93.51,China,East Asia,coarse-flyway
0,10.0,76.92,China,East Asia,coarse-flyway
0,20.0,59.27,China,East Asia,coarse-flyway
0,30.0,42.68,China,East Asia,coarse-flyway
0,40.0,29.16,China,East Asia,coarse-flyway
0,50.0,20.33,China,East Asia,coarse-flyway
0,60.0,17.27,China,East Asia,coarse-flyway
0,70.0,20.33,China,East Asia,coarse-flyway
0,80.0,29.16,China,East Asia,coarse-flyway
0,90.0,42.68,China,East Asia,coarse-flyway
0,100.0,59.27,China,East Asia,coarse-flyway
0,110.0,76.92,China,East Asia,coarse-flyway
0,120.0,93.51,China,East Asia,coarse-flyway
0,130.0,107.03,China,East Asia,coarse-flyway
0,140.0,115.86,China,East Asia,coarse-flyway
0,150.0,118.93,China,East Asia,coarse-flyway
0,160.0,115.86,China,East Asia,coarse-flyway
0,170.0,107.03,China,East Asia,coarse-flyway
0,0.0,93.51,China,East Asia,coarse-flyway
1,0.0,93.51,China,East Asia,coarse-flyway
1,10.0,76.92,China,East Asia,coarse-flyway
1,20.0,59.27,China,East Asia,coarse-flyway
1,30.0,42.68,China,East Asia,coarse-flyway
1,40.0,29.16,China,East Asia,coarse-flyway
1,50.0,20.33,China,East Asia,coarse-flyway
1,60.0,17.27,China,East Asia,coarse-flyway
1,70.0,20.33,China,East Asia,coarse-flyway
1,80.0,29.16,China,East Asia,coarse-flyway
1,90.0,42.68,China,East Asia,coarse-flyway
1,100.0,59.27,China,East Asia,coarse-flyway
1,110.0,76.92,China,East Asia,coarse-flyway
1,120.0,93.51,China,East Asia,coarse-flyway
1,130.0,107.03,China,East Asia,coarse-flyway
1,140.0,115.86,China,East Asia,coarse-flyway
1,150.0,118.93,China,East Asia,coarse-flyway
1,160.0,115.86,China,East Asia,coarse-flyway
1,170.0,107.03,China,East Asia,coarse-flyway
1,0.0,93.51,China,East Asia,coarse-flyway
2,0.0,272399.56,Belgium,Europe (direction data),radar
2,10.0,191549.03,Belgium,Europe (direction data),radar
2,20.0,117074.67,Belgium,Europe (direction data),radar
2,30.0,57959.18,Belgium,Europe (direction data),radar
2,40.0,21332.77,Belgium,Europe (direction data),radar
2,50.0,11613.12,Belgium,Europe (direction data),radar
2,60.0,29972.57,Belgium,Europe (direction data),radar
2,70.0,74196.69,Belgium,Europe (direction data),radar
2,80.0,138951.4,Belgium,Europe (direction data),radar
2,90.0,216426.34,Belgium,Europe (direction data),radar
2,100.0,297276.87,Belgium,Europe (direction data),radar
2,110.0,371751.23,Belgium,Europe (direction data),radar
2,120.0,430866.72,Belgium,Europe (direction data),radar
2,130.0,467493.13,Belgium,Europe (direction data),radar
2,140.0,477212.78,Belgium,Europe (direction data),radar
2,150.0,458853.33,Belgium,Europe (direction data),radar
2,160.0,414629.21,Belgium,Europe (direction data),radar
2,170.0,349874.5,Belgium,Europe (direction data),radar
2,0.0,272399.56,Belgium,Europe (direction data),radar
3,0.0,93.51,China,East Asia,coarse-flyway
3,10.0,76.92,China,East Asia,coarse-flyway
3,20.0,59.27,China,East Asia,coarse-flyway
3,30.0,42.68,China,East Asia,coarse-flyway
3,40.0,29.16,China,East Asia,coarse-flyway
3,50.0,20.33,China,East Asia,coarse-flyway
3,60.0,17.27,China,East Asia,coarse-flyway
3,70.0,20.33,China,East Asia,coarse-flyway
3,80.0,29.16,China,East Asia,coarse-flyway
3,90.0,42.68,China,East Asia,coarse-flyway
3,100.0,59.27,China,East Asia,coarse-flyway
3,110.0,76.92,China,East Asia,coarse-flyway
3,120.0,93.51,China,East Asia,coarse-flyway
3,130.0,107.03,China,East Asia,coarse-flyway
3,140.0,115.86,China,East Asia,coarse-flyway
3,150.0,118.93,China,East Asia,coarse-flyway
3,160.0,115.86,China,East Asia,coarse-flyway
3,170.0,107.03,China,East Asia,coarse-flyway
3,0.0,93.51,China,East Asia,coarse-flyway
4,0.0,93.51,China,East Asia,coarse-flyway
4,10.0,76.92,China,East Asia,coarse-flyway
4,20.0,59.27,China,East Asia,coarse-flyway
4,30.0,42.68,China,East Asia,coarse-flyway
4,40.0,29.16,China,East Asia,coarse-flyway
4,50.0,20.33,China,East Asia,coarse-flyway
4,60.0,17.27,China,East Asia,coarse-flyway
4,70.0,20.33,China,East Asia,coarse-flyway
4,80.0,29.16,China,East Asia,coarse-flyway
4,90.0,42.68,China,East Asia,coarse-flyway
4,100.0,59.27,China,East Asia,coarse-flyway
4,110.0,76.92,China,East Asia,coarse-flyway
4,120.0,93.51,China,East Asia,coarse-flyway
4,130.0,107.03,China,East Asia,coarse-flyway
4,140.0,115.86,China,East Asia,coarse-flyway
4,150.0,118.93,China,East Asia,coarse-flyway
4,160.0,115.86,China,East Asia,coarse-flyway
4,170.0,107.03,China,East Asia,coarse-flyway
4,0.0,93.51,China,East Asia,coarse-flyway
5,0.0,272399.56,United Kingdom,Europe (direction data),radar
5,10.0,191549.03,United Kingdom,Europe (direction data),radar
5,20.0,117074.67,United Kingdom,Europe (direction data),radar
5,30.0,57959.18,United Kingdom,Europe (direction data),radar
5,40.0,21332.77,United Kingdom,Europe (direction data),radar
5,50.0,11613.12,United Kingdom,Europe (direction data),radar
5,60.0,29972.57,United Kingdom,Europe (direction data),radar
5,70.0,74196.69,United Kingdom,Europe (direction data),radar
5,80.0,138951.4,United Kingdom,Europe (direction data),radar
5,90.0,216426.34,United Kingdom,Europe (direction data),radar
5,100.0,297276.87,United Kingdom,Europe (direction data),radar
5,110.0,371751.23,United Kingdom,Europe (direction data),radar
5,120.0,430866.72,United Kingdom,Europe (direction data),radar
5,130.0,467493.13,United Kingdom,Europe (direction data),radar
5,140.0,477212.78,United Kingdom,Europe (direction data),radar
5,150.0,458853.33,United Kingdom,Europe (direction data),radar
5,160.0,414629.21,United Kingdom,Europe (direction data),radar
5,170.0,349874.5,United Kingdom,Europe (direction data),radar
5,0.0,272399.56,United Kingdom,Europe (direction data),radar
6,0.0,93.51,China,East Asia,coarse-flyway
6,10.0,76.92,China,East Asia,coarse-flyway
6,20.0,59.27,China,East Asia,coarse-flyway
6,30.0,42.68,China,East Asia,coarse-flyway
6,40.0,29.16,China,East Asia,coarse-flyway
6,50.0,20.33,China,East Asia,coarse-flyway
6,60.0,17.27,China,East Asia,coarse-flyway
6,70.0,20.33,China,East Asia,coarse-flyway
6,80.0,29.16,China,East Asia,coarse-flyway
6,90.0,42.68,China,East Asia,coarse-flyway
6,100.0,59.27,China,East Asia,coarse-flyway
6,110.0,76.92,China,East Asia,coarse-flyway
6,120.0,93.51,China,East Asia,coarse-flyway
6,130.0,107.03,China,East Asia,coarse-flyway
6,140.0,115.86,China,East Asia,coarse-flyway
6,150.0,118.93,China,East Asia,coarse-flyway
6,160.0,115.86,China,East Asia,coarse-flyway
6,170.0,107.03,China,East Asia,coarse-flyway
6,0.0,93.51,China,East Asia,coarse-flyway
7,0.0,272399.56,Netherlands,Europe (direction data),radar
7,10.0,191549.03,Netherlands,Europe (direction data),radar
7,20.0,117074.67,Netherlands,Europe (direction data),radar
7,30.0,57959.18,Netherlands,Europe (direction data),radar
7,40.0,21332.77,Netherlands,Europe (direction data),radar
7,50.0,11613.12,Netherlands,Europe (direction data),radar
7,60.0,29972.57,Netherlands,Europe (direction data),radar
7,70.0,74196.69,Netherlands,Europe (direction data),radar
7,80.0,138951.4,Netherlands,Europe (direction data),radar
7,90.0,216426.34,Netherlands,Europe (direction data),radar
7,100.0,297276.87,Netherlands,Europe (direction data),radar
7,110.0,371751.23,Netherlands,Europe (direction data),radar
7,120.0,430866.72,Netherlands,Europe (direction data),radar
7,130.0,467493.13,Netherlands,Europe (direction data),radar
7,140.0,477212.78,Netherlands,Europe (direction data),radar
