farm_id,receptor_id,season,direction_deg,concentration,flux,rotor_height_fraction,evidence_level,conservation_weight,n_observations,source
2,radar_nlhrw,spring,32.6,0.287,814663.2,0.5,radar,1.0,7715,VPTS_nlhrw_2020_dist249km
2,radar_nlhrw,autumn,233.2,0.373,1994218.4,0.5,radar,1.0,6543,VPTS_nlhrw_2020_dist249km
5,radar_nlhrw,spring,32.6,0.287,814663.2,0.5,radar,1.0,7715,VPTS_nlhrw_2020_dist345km
5,radar_nlhrw,autumn,233.2,0.373,1994218.4,0.5,radar,1.0,6543,VPTS_nlhrw_2020_dist345km
7,radar_nlhrw,spring,32.6,0.287,814663.2,0.5,radar,1.0,7715,VPTS_nlhrw_2020_dist228km
7,radar_nlhrw,autumn,233.2,0.373,1994218.4,0.5,radar,1.0,6543,VPTS_nlhrw_2020_dist228km
11,radar_deess,spring,21.0,0.749,236.2,0.5,radar,1.0,16,VPTS_deess_2020_dist349km
15,radar_nlhrw,spring,32.6,0.287,814663.2,0.5,radar,1.0,7715,VPTS_nlhrw_2020_dist101km
15,radar_nlhrw,autumn,233.2,0.373,1994218.4,0.5,radar,1.0,6543,VPTS_nlhrw_2020_dist101km
16,radar_nlhrw,spring,32.6,0.287,814663.2,0.5,radar,1.0,7715,VPTS_nlhrw_2020_dist200km
16,radar_nlhrw,autumn,233.2,0.373,1994218.4,0.5,radar,1.0,6543,VPTS_nlhrw_2020_dist200km
17,radar_nlhrw,spring,32.6,0.287,814663.2,0.5,radar,1.0,7715,VPTS_nlhrw_2020_dist389km
17,radar_nlhrw,autumn,233.2,0.373,1994218.4,0.5,radar,1.0,6543,VPTS_nlhrw_2020_dist389km
18,radar_nlhrw,spring,32.6,0.287,814663.2,0.5,radar,1.0,7715,VPTS_nlhrw_2020_dist272km
18,radar_nlhrw,autumn,233.2,0.373,1994218.4,0.5,radar,1.0,6543,VPTS_nlhrw_2020_dist272km
20,radar_nlhrw,spring,32.6,0.287,814663.2,0.5,radar,1.0,7715,VPTS_nlhrw_2020_dist244km
20,radar_nlhrw,autumn,233.2,0.373,1994218.4,0.5,radar,1.0,6543,VPTS_nlhrw_2020_dist244km
23,radar_nlhrw,spring,32.6,0.287,814663.2,0.5,radar,1.0,7715,VPTS_nlhrw_2020_dist194km
23,radar_nlhrw,autumn,233.2,0.373,1994218.4,0.5,radar,1.0,6543,VPTS_nlhrw_2020_dist194km
26,radar_nlhrw,spring,32.6,0.287,814663.2,0.5,radar,1.0,7715,VPTS_nlhrw_2020_dist329km
26,radar_nlhrw,autumn,233.2,0.373,1994218.4,0.5,radar,1.0,6543,VPTS_nlhrw_2020_dist329km
27,radar_nlhrw,spring,32.6,0.287,814663.2,0.5,radar,1.0,7715,VPTS_nlhrw_2020_dist435km
27,radar_nlhrw,autumn,233.2,0.373,1994218.4,0.5,radar,1.0,6543,VPTS_nlhrw_2020_dist435km
30,radar_nlhrw,spring,32.6,0.287,814663.2,0.5,radar,1.0,7715,VPTS_nlhrw_2020_dist475km
30,radar_nlhrw,autumn,233.2,0.373,1994218.4,0.5,radar,1.0,6543,VPTS_nlhrw_2020_dist475km
31,radar_nlhrw,spring,32.6,0.287,814663.2,0.5,radar,1.0,7715,VPTS_nlhrw_2020_dist65km
31,radar_nlhrw,autumn,233.2,0.373,1994218.4,0.5,radar,1.0,6543,VPTS_nlhrw_2020_dist65km
48,radar_nlhrw,spring,32.6,0.287,814663.2,0.5,radar,1.0,7715,VPTS_nlhrw_2020_dist261km
48,radar_nlhrw,autumn,233.2,0.373,1994218.4,0.5,radar,1.0,6543,VPTS_nlhrw_2020_dist261km
49,radar_nlhrw,spring,32.6,0.287,814663.2,0.5,radar,1.0,7715,VPTS_nlhrw_2020_dist384km
49,radar_nlhrw,autumn,233.2,0.373,1994218.4,0.5,radar,1.0,6543,VPTS_nlhrw_2020_dist384km
51,radar_nlhrw,spring,32.6,0.287,814663.2,0.5,radar,1.0,7715,VPTS_nlhrw_2020_dist435km
51,radar_nlhrw,autumn,233.2,0.373,1994218.4,0.5,radar,1.0,6543,VPTS_nlhrw_2020_dist435km
53,radar_nlhrw,spring,32.6,0.287,814663.2,0.5,radar,1.0,7715,VPTS_nlhrw_2020_dist438km
53,radar_nlhrw,autumn,233.2,0.373,1994218.4,0.5,radar,1.0,6543,VPTS_nlhrw_2020_dist438km
54,radar_nlhrw,spring,32.6,0.287,814663.2,0.5,radar,1.0,7715,VPTS_nlhrw_2020_dist57km
54,radar_nlhrw,autumn,233.2,0.373,1994218.4,0.5,radar,1.0,6543,VPTS_nlhrw_2020_dist57km
55,radar_nlhrw,spring,32.6,0.287,814663.2,0.5,radar,1.0,7715,VPTS_nlhrw_2020_dist400km
55,radar_nlhrw,autumn,233.2,0.373,1994218.4,0.5,radar,1.0,6543,VPTS_nlhrw_2020_dist400km
59,radar_nlhrw,spring,32.6,0.287,814663.2,0.5,radar,1.0,7715,VPTS_nlhrw_2020_dist443km
59,radar_nlhrw,autumn,233.2,0.373,1994218.4,0.5,radar,1.0,6543,VPTS_nlhrw_2020_dist443km
60,radar_nlhrw,spring,32.6,0.287,814663.2,0.5,radar,1.0,7715,VPTS_nlhrw_2020_dist364km
60,radar_nlhrw,autumn,233.2,0.373,1994218.4,0.5,radar,1.0,6543,VPTS_nlhrw_2020_dist364km
61,radar_nlhrw,spring,32.6,0.287,814663.2,0.5,radar,1.0,7715,VPTS_nlhrw_2020_dist406km
61,radar_nlhrw,autumn,233.2,0.373,1994218.4,0.5,radar,1.0,6543,VPTS_nlhrw_2020_dist406km
65,radar_nlhrw,spring,32.6,0.287,814663.2,0.5,radar,1.0,7715,VPTS_nlhrw_2020_dist174km
65,radar_nlhrw,autumn,233.2,0.373,1994218.4,0.5,radar,1.0,6543,VPTS_nlhrw_2020_dist174km
68,radar_nlhrw,spring,32.6,0.287,814663.2,0.5,radar,1.0,7715,VPTS_nlhrw_2020_dist341km
68,radar_nlhrw,autumn,233.2,0.373,1994218.4,0.5,radar,1.0,6543,VPTS_nlhrw_2020_dist341km
73,radar_nlhrw,spring,32.6,0.287,814663.2,0.5,radar,1.0,7715,VPTS_nlhrw_2020_dist375km
73,radar_nlhrw,autumn,233.2,0.373,1994218.4,0.5,radar,1.0,6543,VPTS_nlhrw_2020_dist375km
87,radar_nlhrw,spring,32.6,0.287,814663.2,0.5,radar,1.0,7715,VPTS_nlhrw_2020_dist333km
87,radar_nlhrw,autumn,233.2,0.373,1994218.4,0.5,radar,1.0,6543,VPTS_nlhrw_2020_dist333km
96,radar_nlhrw,spring,32.6,0.287,814663.2,0.5,radar,1.0,7715,VPTS_nlhrw_2020_dist413km
96,radar_nlhrw,autumn,233.2,0.373,1994218.4,0.5,radar,1.0,6543,VPTS_nlhrw_2020_dist413km
100,radar_nlhrw,spring,32.6,0.287,814663.2,0.5,radar,1.0,7715,VPTS_nlhrw_2020_dist96km
100,radar_nlhrw,autumn,233.2,0.373,1994218.4,0.5,radar,1.0,6543,VPTS_nlhrw_2020_dist96km
102,radar_nlhrw,spring,32.6,0.287,814663.2,0.5,radar,1.0,7715,VPTS_nlhrw_2020_dist438km
102,radar_nlhrw,autumn,233.2,0.373,1994218.4,0.5,radar,1.0,6543,VPTS_nlhrw_2020_dist438km
113,radar_nlhrw,spring,32.6,0.287,814663.2,0.5,radar,1.0,7715,VPTS_nlhrw_2020_dist52km
113,radar_nlhrw,autumn,233.2,0.373,1994218.4,0.5,radar,1.0,6543,VPTS_nlhrw_2020_dist52km
121,radar_nlhrw,spring,32.6,0.287,814663.2,0.5,radar,1.0,7715,VPTS_nlhrw_2020_dist208km
121,radar_nlhrw,autumn,233.2,0.373,1994218.4,0.5,radar,1.0,6543,VPTS_nlhrw_2020_dist208km
