farm_id,country,group,evidence,best_theta,worst_theta,best_risk,worst_risk,risk_ratio
0,China,East Asia,coarse-flyway,60.0,150.0,17.27,118.93,6.9
1,China,East Asia,coarse-flyway,60.0,150.0,17.27,118.93,6.9
2,Belgium,Europe (direction data),radar,50.0,140.0,11613.12,477212.78,41.1
3,China,East Asia,coarse-flyway,60.0,150.0,17.27,118.93,6.9
4,China,East Asia,coarse-flyway,60.0,150.0,17.27,118.93,6.9
5,United Kingdom,Europe (direction data),radar,50.0,140.0,11613.12,477212.78,41.1
6,China,East Asia,coarse-flyway,60.0,150.0,17.27,118.93,6.9
7,Netherlands,Europe (direction data),radar,50.0,140.0,11613.12,477212.78,41.1
8,China,East Asia,coarse-flyway,60.0,150.0,17.27,118.93,6.9
9,United Kingdom,Europe (no direction data),radar,50.0,140.0,5.26,82.28,15.6
10,United Kingdom,Europe (no direction data),radar,40.0,130.0,5.95,81.59,13.7
11,Germany,Europe (direction data),radar,20.0,110.0,0.03,88.43,3282.1
12,China,East Asia,coarse-flyway,60.0,150.0,17.27,118.93,6.9
13,United Kingdom,Europe (no direction data),radar,50.0,140.0,5.26,82.28,15.6
14,China,East Asia,coarse-flyway,60.0,150.0,17.27,118.93,6.9
15,Netherlands,Europe (direction data),radar,50.0,140.0,11613.12,477212.78,41.1
16,Netherlands,Europe (direction data),radar,50.0,140.0,11613.12,477212.78,41.1
17,United Kingdom,Europe (direction data),radar,50.0,140.0,11613.12,477212.78,41.1
18,Germany,Europe (direction data),radar,50.0,140.0,11613.12,477212.78,41.1
19,China,East Asia,coarse-flyway,60.0,150.0,17.27,118.93,6.9
20,Netherlands,Europe (direction data),radar,50.0,140.0,11613.12,477212.78,41.1
21,China,East Asia,coarse-flyway,60.0,150.0,17.27,118.93,6.9
22,Germany,Europe (no direction data),radar,50.0,140.0,5.81,82.32,14.2
23,Netherlands,Europe (direction data),radar,50.0,140.0,11613.12,477212.78,41.1
24,China,East Asia,coarse-flyway,60.0,150.0,17.27,118.93,6.9
25,Sweden,Europe (no direction data),radar,50.0,140.0,8.42,109.47,13.0
26,United Kingdom,Europe (direction data),radar,50.0,140.0,11613.12,477212.78,41.1
27,Denmark,Europe (direction data),radar,50.0,140.0,11613.12,477212.78,41.1
