lat,lon,row,col,spring_dir,spring_conc,spring_n,autumn_dir,autumn_conc,autumn_n,annual_dir,total_n
43.0,-2.25,0,11,49.6,0.9885,965,250.5,0.8988,1454,334.6,3586
43.0,-2.0,0,12,49.2,0.988,962,250.2,0.8989,1455,333.8,3581
43.0,-1.75,0,13,48.8,0.9874,961,249.9,0.8987,1454,333.4,3576
43.0,-1.5,0,14,48.5,0.9869,961,249.5,0.899,1454,332.9,3574
43.0,-1.25,0,15,48.2,0.9861,960,249.1,0.8995,1454,332.3,3569
43.0,-1.0,0,16,47.9,0.9852,961,248.6,0.8998,1455,332.0,3568
43.0,-0.75,0,17,47.8,0.9842,959,248.0,0.9005,1455,331.6,3563
43.0,-0.5,0,18,47.7,0.983,959,247.4,0.9011,1456,331.4,3560
43.0,-0.25,0,19,47.7,0.9817,958,246.8,0.9028,1456,331.0,3554
43.0,0.0,0,20,47.7,0.9801,958,246.1,0.9036,1455,330.7,3552
43.0,0.25,0,21,47.8,0.9781,958,245.4,0.9052,1456,330.2,3551
43.0,0.5,0,22,47.8,0.9758,957,244.7,0.9047,1456,329.9,3549
43.0,0.75,0,23,48.0,0.9734,957,244.1,0.9052,1457,329.5,3549
43.0,1.0,0,24,48.0,0.9708,955,243.5,0.9058,1455,329.1,3544
43.0,1.25,0,25,48.2,0.9684,955,242.9,0.9059,1457,328.7,3545
43.0,1.5,0,26,48.3,0.9662,955,242.2,0.9058,1457,328.4,3544
43.0,1.75,0,27,48.4,0.9643,954,241.7,0.9054,1457,328.2,3543
43.0,2.0,0,28,48.5,0.9626,956,241.1,0.9045,1457,328.2,3544
43.0,2.25,0,29,48.5,0.9612,955,240.5,0.9035,1458,327.9,3543
43.0,2.5,0,30,48.4,0.9601,955,240.1,0.9026,1458,327.8,3541
43.0,2.75,0,31,48.4,0.9591,954,239.6,0.9012,1457,327.7,3539
43.0,3.0,0,32,48.3,0.9586,956,239.3,0.9005,1456,327.8,3539
43.25,-2.25,1,11,50.0,0.988,962,250.7,0.8929,1453,334.6,3581
43.25,-2.0,1,12,49.7,0.9875,960,250.3,0.8925,1454,334.0,3578
43.25,-1.75,1,13,49.3,0.987,960,250.0,0.8925,1454,333.5,3574
43.25,-1.5,1,14,48.9,0.9863,959,249.6,0.8928,1454,333.0,3571
43.25,-1.25,1,15,48.6,0.9855,958,249.2,0.8929,1455,332.4,3568
43.25,-1.0,1,16,48.3,0.9845,958,248.6,0.893,1455,332.0,3566
43.25,-0.75,1,17,48.1,0.9835,958,248.1,0.8937,1454,331.7,3562
43.25,-0.5,1,18,48.0,0.9822,957,247.5,0.8947,1455,331.3,3558
43.25,-0.25,1,19,48.0,0.9808,956,246.7,0.8962,1453,331.0,3550
43.25,0.0,1,20,48.0,0.9791,956,246.0,0.8984,1455,330.5,3548
43.25,0.25,1,21,48.1,0.9769,956,245.2,0.8999,1457,329.9,3549
43.25,0.5,1,22,48.2,0.9745,955,244.5,0.901,1455,329.5,3545
43.25,0.75,1,23,48.3,0.9715,955,243.8,0.9006,1456,329.1,3545
