ID,Country,Latitude,Longitude,Hub.height,turbine.rotorDiameter,turbine.capacity,Number.of.turbines,Total.power,Status
30788,Austria,,,38.0,50.0,750.0,1.0,750.0,Production
30786,Austria,,,20.5,27.0,250.0,1.0,250.0,Production
30787,Austria,,,23.5,31.0,300.0,1.0,300.0,Production
20222,Austria,47.832,17.024,135.0,101.0,3000.0,10.0,30000.0,Production
20505,Austria,47.778,17.033,135.0,101.0,3000.0,68.0,204000.0,Production
21408,Austria,47.778,17.033,135.0,101.0,3000.0,11.0,33000.0,Production
30805,Austria,47.936,16.53,95.6,126.0,3640.0,5.0,18200.0,Production
21875,Austria,47.738,16.501,99.0,101.0,3000.0,5.0,15000.0,Production
27215,Austria,48.012,16.829,88.8,117.0,3450.0,3.0,10350.0,Production
1279,Austria,47.58,16.62,100.0,82.0,2000.0,7.0,14000.0,Production
17677,Austria,47.575,16.614,138.0,82.0,2300.0,1.0,2300.0,Production
18592,Austria,47.576,16.621,138.0,92.0,2350.0,1.0,2350.0,Production
22204,Austria,48.038,17.0,135.0,101.0,3000.0,4.0,12000.0,Production
149,Austria,47.93,16.94,100.0,80.0,2000.0,12.0,24000.0,Production
148,Austria,47.93,16.94,92.0,62.0,1250.0,6.0,7500.0,Production
20138,Austria,47.93,16.94,92.0,62.0,1250.0,5.0,6250.0,Production
150,Austria,47.93,16.94,80.0,90.0,2000.0,4.0,8000.0,Production
15876,Austria,47.93,16.94,80.0,90.0,2000.0,2.0,4000.0,Production
17985,Austria,47.93,16.94,100.0,80.0,2000.0,1.0,2000.0,Production
16355,Austria,47.93,16.94,80.0,90.0,2000.0,2.0,4000.0,Production
147,Austria,47.855,17.001,31.0,22.0,132.0,1.0,132.0,Production
21413,Austria,47.843,17.003,135.0,101.0,3000.0,8.0,24000.0,Production
21412,Austria,47.846,17.001,135.0,101.0,3000.0,12.0,36000.0,Production
1293,Austria,47.895,17.028,135.0,101.0,3000.0,15.0,45000.0,Production
21411,Austria,47.851,17.009,135.0,101.0,3000.0,11.0,33000.0,Production
1289,Austria,48.071,17.056,85.0,70.0,1800.0,12.0,21600.0,Production
17678,Austria,48.071,17.056,100.0,82.0,2300.0,6.0,13800.0,Production
17689,Austria,48.082,17.013,100.0,100.0,1800.0,2.0,3600.0,Production
1682,Austria,47.908,16.974,135.0,101.0,3000.0,10.0,30000.0,Production
23078,Austria,47.904,17.008,76.7,101.0,3000.0,2.0,6000.0,Production
417,Austria,47.899,16.962,100.0,80.0,2000.0,5.0,10000.0,Production
18211,Austria,47.899,16.962,100.0,80.0,2000.0,2.0,4000.0,Production
1674,Austria,47.908,17.016,135.0,101.0,3000.0,15.0,45000.0,Production
18047,Austria,47.908,17.016,135.0,101.0,3000.0,2.0,6000.0,Production
136,Austria,48.021,16.902,100.0,80.0,2000.0,11.0,22000.0,Production
135,Austria,48.032,16.904,100.0,80.0,2000.0,11.0,22000.0,Production
17983,Austria,48.04,16.894,100.0,80.0,2000.0,9.0,18000.0,Production
137,Austria,48.036,16.888,105.0,90.0,2000.0,2.0,4000.0,Production
21662,Austria,48.057,16.876,119.0,112.0,3000.0,4.0,12000.0,Production
21704,Austria,48.038,16.869,99.0,101.0,3000.0,3.0,9000.0,Production
22200,Austria,48.061,16.891,135.0,101.0,3000.0,5.0,15000.0,Production
140,Austria,47.948,16.9,85.0,70.0,1800.0,18.0,32400.0,Production
20137,Austria,47.906,17.048,135.0,101.0,3000.0,14.0,42000.0,Production
24812,Austria,47.549,16.658,92.0,92.0,2350.0,2.0,4700.0,Production
27220,Austria,47.549,16.658,138.0,92.0,2350.0,7.0,16450.0,Production
141,Austria,48.055,17.007,92.0,62.0,1250.0,8.0,10000.0,Production
26781,Austria,48.055,17.007,76.7,101.0,3050.0,1.0,3050.0,Production
26780,Austria,48.047,17.003,76.7,101.0,3050.0,3.0,9150.0,Production
119,Austria,47.965,16.878,60.0,64.0,1500.0,5.0,7500.0,Production
120,Austria,47.981,16.892,85.0,70.5,1500.0,8.0,12000.0,Production
118,Austria,47.979,16.905,85.0,70.0,1800.0,23.0,41400.0,Production
121,Austria,47.977,16.869,86.0,52.0,850.0,1.0,850.0,Production
22602,Austria,47.981,16.885,62.2,82.0,2050.0,1.0,2050.0,Production
9962,Austria,47.759,16.421,80.0,80.0,2000.0,1.0,2000.0,Production
6777,Austria,47.763,16.418,100.0,82.4,2300.0,4.0,9200.0,Production
1291,Austria,48.031,16.907,113.0,71.0,2000.0,5.0,10000.0,Production
1686,Austria,48.031,16.907,113.0,71.0,2000.0,2.0,4000.0,Production
17094,Austria,48.031,16.907,113.0,71.0,2000.0,2.0,4000.0,Production
1292,Austria,48.031,16.907,138.0,127.0,7500.0,1.0,7500.0,Production
19231,Austria,48.031,16.907,138.0,127.0,7500.0,1.0,7500.0,Production
1262,Austria,47.764,16.41,95.0,90.0,2000.0,3.0,6000.0,Production
23139,Austria,47.759,16.407,104.0,92.0,2350.0,1.0,2350.0,Production
1294,Austria,47.948,16.902,86.0,70.0,1800.0,22.0,39600.0,Production
21068,Austria,47.948,16.902,86.0,70.0,1800.0,4.0,7200.0,Production
23532,Austria,47.765,16.514,104.0,92.0,2350.0,3.0,7050.0,Production
21414,Austria,47.943,16.962,135.0,101.0,3000.0,1.0,3000.0,Production
