species,order,iucn,migratory,weight
Struthio camelus,Struthioniformes,LC,False,0.5
Struthio molybdophanes,Struthioniformes,VU,False,1.5
Rhea americana,Rheiformes,NT,False,1.0
Rhea pennata,Rheiformes,LC,False,0.5
Apteryx australis,Apterygiformes,VU,False,1.5
Apteryx mantelli,Apterygiformes,VU,False,1.5
Apteryx rowi,Apterygiformes,VU,False,1.5
Apteryx owenii,Apterygiformes,NT,False,1.0
Apteryx haastii,Apterygiformes,VU,False,1.5
Casuarius casuarius,Casuariiformes,LC,False,0.5
Casuarius bennetti,Casuariiformes,LC,False,0.5
Casuarius unappendiculatus,Casuariiformes,LC,False,0.5
Dromaius novaehollandiae,Casuariiformes,LC,False,0.5
Dromaius minor,Casuariiformes,EX,False,0.25
Dromaius baudinianus,Casuariiformes,EX,False,0.25
Tinamus tao,Tinamiformes,VU,False,1.5
Tinamus solitarius,Tinamiformes,NT,False,1.0
Tinamus osgoodi,Tinamiformes,VU,False,1.5
Tinamus major,Tinamiformes,LC,False,0.5
Tinamus guttatus,Tinamiformes,NT,False,1.0
Nothocercus bonapartei,Tinamiformes,LC,False,0.5
Nothocercus julius,Tinamiformes,LC,False,0.5
Nothocercus nigrocapillus,Tinamiformes,LC,False,0.5
Crypturellus berlepschi,Tinamiformes,LC,False,0.5
Crypturellus cinereus,Tinamiformes,LC,False,0.5
Crypturellus soui,Tinamiformes,LC,False,0.5
Crypturellus ptaritepui,Tinamiformes,LC,False,0.5
Crypturellus obsoletus,Tinamiformes,LC,False,0.5
Crypturellus undulatus,Tinamiformes,LC,False,0.5
Crypturellus transfasciatus,Tinamiformes,NT,False,1.0
Crypturellus strigulosus,Tinamiformes,LC,False,0.5
Crypturellus duidae,Tinamiformes,LC,False,0.5
Crypturellus erythropus,Tinamiformes,LC,False,0.5
Crypturellus noctivagus,Tinamiformes,NT,False,1.0
Crypturellus atrocapillus,Tinamiformes,LC,False,0.5
Crypturellus cinnamomeus,Tinamiformes,LC,False,0.5
