farm_id,theta_deg,risk_score
2,0.0,272399.5636
2,10.0,191549.0326
2,20.0,117074.6703
2,30.0,57959.1839
2,40.0,21332.7735
2,50.0,11613.1247
2,60.0,29972.5707
2,70.0,74196.6913
2,80.0,138951.4048
2,90.0,216426.3372
2,100.0,297276.8682
2,110.0,371751.2305
2,120.0,430866.7169
2,130.0,467493.1273
2,140.0,477212.7761
2,150.0,458853.3301
2,160.0,414629.2095
2,170.0,349874.496
2,0.0,272399.5636
5,0.0,272399.5636
5,10.0,191549.0326
5,20.0,117074.6703
5,30.0,57959.1839
5,40.0,21332.7735
5,50.0,11613.1247
5,60.0,29972.5707
5,70.0,74196.6913
5,80.0,138951.4048
5,90.0,216426.3372
5,100.0,297276.8682
5,110.0,371751.2305
5,120.0,430866.7169
5,130.0,467493.1273
5,140.0,477212.7761
5,150.0,458853.3301
5,160.0,414629.2095
5,170.0,349874.496
5,0.0,272399.5636
7,0.0,272399.5636
7,10.0,191549.0326
7,20.0,117074.6703
7,30.0,57959.1839
7,40.0,21332.7735
7,50.0,11613.1247
7,60.0,29972.5707
7,70.0,74196.6913
7,80.0,138951.4048
7,90.0,216426.3372
7,100.0,297276.8682
7,110.0,371751.2305
7,120.0,430866.7169
7,130.0,467493.1273
7,140.0,477212.7761
7,150.0,458853.3301
7,160.0,414629.2095
7,170.0,349874.496
7,0.0,272399.5636
11,0.0,11.3603
11,10.0,3.2205
11,20.0,0.0269
11,30.0,2.1647
11,40.0,9.376
11,50.0,20.7909
11,60.0,35.0328
11,70.0,50.3839
11,80.0,64.9924
11,90.0,77.0966
11,100.0,85.2364
11,110.0,88.43
11,120.0,86.2922
11,130.0,79.0809
11,140.0,67.666
11,150.0,53.4241
11,160.0,38.073
11,170.0,23.4645
11,0.0,11.3603
15,0.0,272399.5636
15,10.0,191549.0326
15,20.0,117074.6703
15,30.0,57959.1839
15,40.0,21332.7735
15,50.0,11613.1247
15,60.0,29972.5707
15,70.0,74196.6913
15,80.0,138951.4048
15,90.0,216426.3372
15,100.0,297276.8682
15,110.0,371751.2305
15,120.0,430866.7169
15,130.0,467493.1273
15,140.0,477212.7761
15,150.0,458853.3301
15,160.0,414629.2095
15,170.0,349874.496
15,0.0,272399.5636
