farm_id,receptor_id,season,direction_deg,concentration,flux,rotor_height_fraction,evidence_level,conservation_weight,n_observations,source
2,radar_bejab,spring,35.7,0.161,4031895.9,0.1133,radar,1.0,2812,VPTS_bejab_2020_rotor_dist54km
2,radar_bejab,autumn,210.7,0.463,3284083.1,0.235,radar,1.0,2528,VPTS_bejab_2020_rotor_dist54km
5,radar_bejab,spring,35.7,0.161,4031895.9,0.1133,radar,1.0,2812,VPTS_bejab_2020_rotor_dist334km
5,radar_bejab,autumn,210.7,0.463,3284083.1,0.235,radar,1.0,2528,VPTS_bejab_2020_rotor_dist334km
7,radar_nlhrw,spring,345.3,0.117,5992577.7,0.3936,radar,1.0,7707,VPTS_nlhrw_2020_rotor_dist228km
7,radar_nlhrw,autumn,258.1,0.269,11698081.7,0.5754,radar,1.0,6718,VPTS_nlhrw_2020_rotor_dist228km
11,radar_nlhrw,spring,345.3,0.117,5992577.7,0.3936,radar,1.0,7707,VPTS_nlhrw_2020_rotor_dist367km
11,radar_nlhrw,autumn,258.1,0.269,11698081.7,0.5754,radar,1.0,6718,VPTS_nlhrw_2020_rotor_dist367km
15,radar_nlhrw,spring,345.3,0.117,5992577.7,0.3936,radar,1.0,7707,VPTS_nlhrw_2020_rotor_dist101km
15,radar_nlhrw,autumn,258.1,0.269,11698081.7,0.5754,radar,1.0,6718,VPTS_nlhrw_2020_rotor_dist101km
16,radar_nlhrw,spring,345.3,0.117,5992577.7,0.3936,radar,1.0,7707,VPTS_nlhrw_2020_rotor_dist200km
16,radar_nlhrw,autumn,258.1,0.269,11698081.7,0.5754,radar,1.0,6718,VPTS_nlhrw_2020_rotor_dist200km
18,radar_nlhrw,spring,345.3,0.117,5992577.7,0.3936,radar,1.0,7707,VPTS_nlhrw_2020_rotor_dist272km
18,radar_nlhrw,autumn,258.1,0.269,11698081.7,0.5754,radar,1.0,6718,VPTS_nlhrw_2020_rotor_dist272km
20,radar_nlhrw,spring,345.3,0.117,5992577.7,0.3936,radar,1.0,7707,VPTS_nlhrw_2020_rotor_dist244km
20,radar_nlhrw,autumn,258.1,0.269,11698081.7,0.5754,radar,1.0,6718,VPTS_nlhrw_2020_rotor_dist244km
23,radar_nlhrw,spring,345.3,0.117,5992577.7,0.3936,radar,1.0,7707,VPTS_nlhrw_2020_rotor_dist194km
23,radar_nlhrw,autumn,258.1,0.269,11698081.7,0.5754,radar,1.0,6718,VPTS_nlhrw_2020_rotor_dist194km
26,radar_bejab,spring,35.7,0.161,4031895.9,0.1133,radar,1.0,2812,VPTS_bejab_2020_rotor_dist148km
26,radar_bejab,autumn,210.7,0.463,3284083.1,0.235,radar,1.0,2528,VPTS_bejab_2020_rotor_dist148km
30,radar_bejab,spring,35.7,0.161,4031895.9,0.1133,radar,1.0,2812,VPTS_bejab_2020_rotor_dist363km
30,radar_bejab,autumn,210.7,0.463,3284083.1,0.235,radar,1.0,2528,VPTS_bejab_2020_rotor_dist363km
31,radar_nlhrw,spring,345.3,0.117,5992577.7,0.3936,radar,1.0,7707,VPTS_nlhrw_2020_rotor_dist65km
31,radar_nlhrw,autumn,258.1,0.269,11698081.7,0.5754,radar,1.0,6718,VPTS_nlhrw_2020_rotor_dist65km
48,radar_bejab,spring,35.7,0.161,4031895.9,0.1133,radar,1.0,2812,VPTS_bejab_2020_rotor_dist133km
48,radar_bejab,autumn,210.7,0.463,3284083.1,0.235,radar,1.0,2528,VPTS_bejab_2020_rotor_dist133km
51,radar_bejab,spring,35.7,0.161,4031895.9,0.1133,radar,1.0,2812,VPTS_bejab_2020_rotor_dist339km
51,radar_bejab,autumn,210.7,0.463,3284083.1,0.235,radar,1.0,2528,VPTS_bejab_2020_rotor_dist339km
53,radar_bejab,spring,35.7,0.161,4031895.9,0.1133,radar,1.0,2812,VPTS_bejab_2020_rotor_dist355km
53,radar_bejab,autumn,210.7,0.463,3284083.1,0.235,radar,1.0,2528,VPTS_bejab_2020_rotor_dist355km
54,radar_nlhrw,spring,345.3,0.117,5992577.7,0.3936,radar,1.0,7707,VPTS_nlhrw_2020_rotor_dist57km
54,radar_nlhrw,autumn,258.1,0.269,11698081.7,0.5754,radar,1.0,6718,VPTS_nlhrw_2020_rotor_dist57km
55,radar_bejab,spring,35.7,0.161,4031895.9,0.1133,radar,1.0,2812,VPTS_bejab_2020_rotor_dist304km
55,radar_bejab,autumn,210.7,0.463,3284083.1,0.235,radar,1.0,2528,VPTS_bejab_2020_rotor_dist304km
60,radar_nlhrw,spring,345.3,0.117,5992577.7,0.3936,radar,1.0,7707,VPTS_nlhrw_2020_rotor_dist364km
60,radar_nlhrw,autumn,258.1,0.269,11698081.7,0.5754,radar,1.0,6718,VPTS_nlhrw_2020_rotor_dist364km
65,radar_nlhrw,spring,345.3,0.117,5992577.7,0.3936,radar,1.0,7707,VPTS_nlhrw_2020_rotor_dist174km
65,radar_nlhrw,autumn,258.1,0.269,11698081.7,0.5754,radar,1.0,6718,VPTS_nlhrw_2020_rotor_dist174km
68,radar_nlhrw,spring,345.3,0.117,5992577.7,0.3936,radar,1.0,7707,VPTS_nlhrw_2020_rotor_dist341km
68,radar_nlhrw,autumn,258.1,0.269,11698081.7,0.5754,radar,1.0,6718,VPTS_nlhrw_2020_rotor_dist341km
73,radar_bejab,spring,35.7,0.161,4031895.9,0.1133,radar,1.0,2812,VPTS_bejab_2020_rotor_dist298km
73,radar_bejab,autumn,210.7,0.463,3284083.1,0.235,radar,1.0,2528,VPTS_bejab_2020_rotor_dist298km
87,radar_bejab,spring,35.7,0.161,4031895.9,0.1133,radar,1.0,2812,VPTS_bejab_2020_rotor_dist137km
87,radar_bejab,autumn,210.7,0.463,3284083.1,0.235,radar,1.0,2528,VPTS_bejab_2020_rotor_dist137km
100,radar_nlhrw,spring,345.3,0.117,5992577.7,0.3936,radar,1.0,7707,VPTS_nlhrw_2020_rotor_dist96km
100,radar_nlhrw,autumn,258.1,0.269,11698081.7,0.5754,radar,1.0,6718,VPTS_nlhrw_2020_rotor_dist96km
113,radar_nlhrw,spring,345.3,0.117,5992577.7,0.3936,radar,1.0,7707,VPTS_nlhrw_2020_rotor_dist52km
113,radar_nlhrw,autumn,258.1,0.269,11698081.7,0.5754,radar,1.0,6718,VPTS_nlhrw_2020_rotor_dist52km
121,radar_nlhrw,spring,345.3,0.117,5992577.7,0.3936,radar,1.0,7707,VPTS_nlhrw_2020_rotor_dist208km
121,radar_nlhrw,autumn,258.1,0.269,11698081.7,0.5754,radar,1.0,6718,VPTS_nlhrw_2020_rotor_dist208km
122,radar_bejab,spring,35.7,0.161,4031895.9,0.1133,radar,1.0,2812,VPTS_bejab_2020_rotor_dist216km
122,radar_bejab,autumn,210.7,0.463,3284083.1,0.235,radar,1.0,2528,VPTS_bejab_2020_rotor_dist216km
129,radar_nlhrw,spring,345.3,0.117,5992577.7,0.3936,radar,1.0,7707,VPTS_nlhrw_2020_rotor_dist382km
129,radar_nlhrw,autumn,258.1,0.269,11698081.7,0.5754,radar,1.0,6718,VPTS_nlhrw_2020_rotor_dist382km
134,radar_nlhrw,spring,345.3,0.117,5992577.7,0.3936,radar,1.0,7707,VPTS_nlhrw_2020_rotor_dist99km
134,radar_nlhrw,autumn,258.1,0.269,11698081.7,0.5754,radar,1.0,6718,VPTS_nlhrw_2020_rotor_dist99km
142,radar_nlhrw,spring,345.3,0.117,5992577.7,0.3936,radar,1.0,7707,VPTS_nlhrw_2020_rotor_dist391km
142,radar_nlhrw,autumn,258.1,0.269,11698081.7,0.5754,radar,1.0,6718,VPTS_nlhrw_2020_rotor_dist391km
