farm_id,country,centroid_lat,centroid_lon,n_turb,capacity_kW,data_radar,data_dist,all_radar,all_dist,group
0,China,32.8436,121.4239,928,9280000,deess,12870.274191920722,denhb,12506.621527278363,East Asia
1,China,33.462,121.1856,589,5890000,deess,12833.335519038008,denhb,12468.134811073809,East Asia
2,Belgium,51.6448,2.9165,572,5720000,nlhrw,249.81829981426543,bejab,54.33348409673322,Europe (direction data)
3,China,32.6831,121.8054,443,4430000,deess,12914.930585066464,denhb,12551.52898790889,East Asia
4,China,21.2977,111.564,364,3640000,deess,12081.192934689607,denhb,11758.154103801075,East Asia
5,United Kingdom,53.9099,1.7927,339,3390000,nlhrw,345.119533853562,bejab,334.5476157818197,Europe (direction data)
6,China,36.4678,121.5419,293,2930000,deess,12825.035717904664,denhb,12451.742892545302,East Asia
7,Netherlands,54.0049,6.5218,284,2840000,nlhrw,228.8886009596151,nlhrw,228.8886009596151,Europe (direction data)
8,China,20.9951,111.5761,278,2780000,deess,12091.815505586066,denhb,11769.718173893953,East Asia
9,United Kingdom,54.0305,-3.5107,267,2670000,nlhrw,924.7482197017412,frabb,734.086704969883,Europe (no direction data)
10,United Kingdom,58.1844,-2.8564,246,2460000,nlhrw,1024.9109389048003,bejab,1018.4444252381764,Europe (no direction data)
11,Germany,54.4594,7.6964,246,2460000,deess,349.0342944865451,denhb,344.644495414797,Europe (direction data)
12,China,22.6333,116.2218,244,2440000,deess,12540.28798276474,denhb,12208.994932408552,East Asia
13,United Kingdom,53.4442,-3.5741,215,2150000,nlhrw,925.6020678987543,frabb,703.6753793635598,Europe (no direction data)
14,China,39.4746,123.3788,189,1890000,deess,12989.003482081087,denhb,12607.443546118246,East Asia
15,Netherlands,52.3293,4.0757,182,1820000,nlhrw,101.7300908413041,nlhrw,101.7300908413041,Europe (direction data)
16,Netherlands,54.3337,5.9083,178,1780000,nlhrw,200.30147855215623,nlhrw,200.30147855215623,Europe (direction data)
17,United Kingdom,51.6283,1.4972,175,1750000,nlhrw,389.7285516257822,frabb,170.36452451238205,Europe (direction data)
18,Germany,54.0239,6.953,174,1740000,nlhrw,272.03992254338306,nlhrw,272.03992254338306,Europe (direction data)
19,China,34.2763,120.6226,171,1710000,deess,12757.823805974609,denhb,12390.69322978099,East Asia
20,Netherlands,54.4774,6.3397,167,1670000,nlhrw,244.70646352078649,nlhrw,244.70646352078649,Europe (direction data)
21,China,27.286,120.9217,162,1620000,deess,12928.748493139377,denhb,12580.594768231735,East Asia
22,Germany,54.5529,11.6189,161,1610000,deess,623.5103241871943,denhb,148.48927742439855,Europe (no direction data)
23,Netherlands,54.0433,6.1233,158,1580000,nlhrw,194.8439814502362,nlhrw,194.8439814502362,Europe (direction data)
24,China,32.5335,121.232,156,1560000,deess,12854.810973859796,denhb,12492.083274519355,East Asia
25,Sweden,55.0056,13.0559,152,1520000,deess,785.1908877620589,denhb,306.42056482320174,Europe (no direction data)
26,United Kingdom,51.9273,1.9623,140,1400000,nlhrw,329.6006005033668,bejab,148.3192857391784,Europe (direction data)
27,Denmark,55.6337,7.6098,138,1380000,nlhrw,435.32243913601513,denhb,408.7764513977411,Europe (direction data)
28,China,32.1239,122.1411,134,1340000,deess,12961.810973988195,denhb,12599.746700300715,East Asia
29,Sweden,54.8111,14.0932,131,1310000,deess,876.6581654473141,denhb,402.0084940414195,Europe (no direction data)
30,United Kingdom,53.1798,0.4738,129,1290000,nlhrw,475.34309155396375,bejab,363.7592866829382,Europe (direction data)
31,Netherlands,52.6531,4.2423,129,1290000,nlhrw,65.28356268541113,nlhrw,65.28356268541113,Europe (direction data)
32,China,21.4359,112.2209,128,1280000,deess,12147.07200239457,denhb,11822.976625522864,East Asia
33,China,20.1389,109.2031,128,1280000,deess,11866.550567193957,denhb,11549.573441095961,East Asia
34,China,25.1304,119.3921,125,1250000,deess,12815.006702928991,denhb,12473.969816583369,East Asia
35,China,20.5948,110.7555,120,1200000,deess,12016.94343800328,denhb,11696.919048755535,East Asia
36,United Kingdom,50.6703,-0.2781,117,1170000,nlhrw,612.8046688510951,frabb,241.5623636117596,Europe (no direction data)
37,China,30.6253,121.57,116,1160000,deess,12927.925668121274,denhb,12570.194468298763,East Asia
38,China,30.7484,121.983,115,1150000,deess,12970.614198948744,denhb,12612.332410393043,East Asia
39,Taiwan,23.9706,120.158,114,1140000,deess,12927.519264759329,denhb,12589.246844002368,East Asia
40,United Kingdom,56.5947,-1.6988,114,1140000,nlhrw,822.2310260925028,bejab,800.8973418854195,Europe (no direction data)
41,China,23.243,117.0232,113,1130000,deess,12609.386733212526,denhb,12275.628277599157,East Asia
42,Taiwan,24.1616,119.9117,111,1110000,deess,12895.96358284783,denhb,12557.325396536613,East Asia
43,Denmark,56.6015,11.2166,111,1110000,deess,745.3483771720512,denhb,338.44884405329265,Europe (no direction data)
44,China,38.2743,118.942,108,1080000,deess,12513.994866456565,denhb,12136.893354703307,East Asia
45,China,25.2524,119.5441,106,1060000,deess,12828.366082097866,denhb,12486.872806903935,East Asia
46,China,25.8097,119.9959,105,1050000,deess,12863.419048771322,denhb,12520.025911913077,East Asia
47,China,22.3059,114.9472,104,1040000,deess,12412.928244296856,denhb,12083.699663534286,East Asia
48,United Kingdom,52.2364,2.5034,102,1020000,nlhrw,261.6502519832916,bejab,133.06194250393344,Europe (direction data)
49,France,51.4309,1.632,101,1010000,nlhrw,384.9890436467122,frabb,146.06287551602546,Europe (direction data)
50,China,34.5055,120.3623,100,1000000,deess,12725.479688316758,denhb,12357.848330744164,East Asia
51,United Kingdom,53.2764,0.8416,92,920000,nlhrw,435.342615848621,bejab,339.6066635770272,Europe (direction data)
52,China,25.6651,119.7641,90,900000,deess,12841.886456872884,denhb,12499.063071799152,East Asia
53,United Kingdom,53.4775,0.8387,90,900000,nlhrw,438.08486787920435,bejab,355.49829027259744,Europe (direction data)
54,Netherlands,53.0019,5.2635,89,890000,nlhrw,57.2888904680479,nlhrw,57.2888904680479,Europe (direction data)
55,United Kingdom,53.1359,1.1474,88,880000,nlhrw,400.4206432090758,bejab,304.43023528876034,Europe (direction data)
56,Vietnam,21.3394,108.211,83,830000,deess,11722.661470039497,denhb,11402.808156330113,East Asia
57,Vietnam,9.2189,105.8099,82,820000,deess,11928.534849302307,denhb,11652.029002973757,East Asia
58,France,47.1594,-2.6062,81,810000,behel,990.0593637710821,frabb,592.6229062994446,Europe (no direction data)
59,Denmark,55.4865,7.8406,80,800000,nlhrw,443.8007187418806,denhb,378.39563986627786,Europe (direction data)
