farm_id,country,n_turbines,capacity_kw,centroid_lat,centroid_lon,has_location,has_ecological_overlap,has_direction,has_layout_aep,has_validation,readiness_level,blocker
0,China,928,9280000,32.8436,121.4239,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
1,China,589,5890000,33.462,121.1856,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
2,Belgium,572,5720000,51.6448,2.9165,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
3,China,443,4430000,32.6831,121.8054,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
4,China,364,3640000,21.2977,111.564,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
5,United Kingdom,339,3390000,53.9099,1.7927,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
6,China,293,2930000,36.4678,121.5419,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
7,Netherlands,284,2840000,54.0049,6.5218,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
8,China,278,2780000,20.9951,111.5761,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
9,United Kingdom,267,2670000,54.0305,-3.5107,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
10,United Kingdom,246,2460000,58.1844,-2.8564,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
11,Germany,246,2460000,54.4594,7.6964,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
12,China,244,2440000,22.6333,116.2218,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
13,United Kingdom,215,2150000,53.4442,-3.5741,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
14,China,189,1890000,39.4746,123.3788,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
15,Netherlands,182,1820000,52.3293,4.0757,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
16,Netherlands,178,1780000,54.3337,5.9083,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
17,United Kingdom,175,1750000,51.6283,1.4972,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
18,Germany,174,1740000,54.0239,6.953,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
19,China,171,1710000,34.2763,120.6226,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
20,Netherlands,167,1670000,54.4774,6.3397,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
21,China,162,1620000,27.286,120.9217,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
22,Germany,161,1610000,54.5529,11.6189,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
23,Netherlands,158,1580000,54.0433,6.1233,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
24,China,156,1560000,32.5335,121.232,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
25,Sweden,152,1520000,55.0056,13.0559,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
26,United Kingdom,140,1400000,51.9273,1.9623,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
27,Denmark,138,1380000,55.6337,7.6098,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
28,China,134,1340000,32.1239,122.1411,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
29,Sweden,131,1310000,54.8111,14.0932,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
30,United Kingdom,129,1290000,53.1798,0.4738,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
31,Netherlands,129,1290000,52.6531,4.2423,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
32,China,128,1280000,21.4359,112.2209,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
33,China,128,1280000,20.1389,109.2031,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
34,China,125,1250000,25.1304,119.3921,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
35,China,120,1200000,20.5948,110.7555,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
36,United Kingdom,117,1170000,50.6703,-0.2781,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
37,China,116,1160000,30.6253,121.57,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
38,China,115,1150000,30.7484,121.983,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
39,Taiwan,114,1140000,23.9706,120.158,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
40,United Kingdom,114,1140000,56.5947,-1.6988,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
41,China,113,1130000,23.243,117.0232,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
42,Taiwan,111,1110000,24.1616,119.9117,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
43,Denmark,111,1110000,56.6015,11.2166,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
44,China,108,1080000,38.2743,118.942,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
45,China,106,1060000,25.2524,119.5441,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
46,China,105,1050000,25.8097,119.9959,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
47,China,104,1040000,22.3059,114.9472,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
48,United Kingdom,102,1020000,52.2364,2.5034,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
49,France,101,1010000,51.4309,1.632,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
50,China,100,1000000,34.5055,120.3623,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
51,United Kingdom,92,920000,53.2764,0.8416,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
52,China,90,900000,25.6651,119.7641,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
53,United Kingdom,90,900000,53.4775,0.8387,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
54,Netherlands,89,890000,53.0019,5.2635,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
55,United Kingdom,88,880000,53.1359,1.1474,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
56,Vietnam,83,830000,21.3394,108.211,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
57,Vietnam,82,820000,9.2189,105.8099,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
58,France,81,810000,47.1594,-2.6062,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
59,Denmark,80,800000,55.4865,7.8406,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
60,Denmark,80,800000,55.141,7.1997,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
61,Denmark,80,800000,55.0168,7.7741,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
62,Taiwan,79,790000,23.5921,120.028,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
63,China,75,750000,38.9986,118.8044,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
64,Vietnam,75,750000,10.1591,106.8469,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
65,Netherlands,75,750000,54.0341,5.8848,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
66,China,74,740000,30.462,121.4796,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
67,United Kingdom,73,730000,53.6443,0.2928,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
68,Denmark,72,720000,55.2017,6.8522,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
69,France,71,710000,49.896,0.2344,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
70,China,70,700000,36.427,121.2355,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
71,Taiwan,69,690000,24.7084,120.7773,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
72,China,68,680000,20.5798,110.6321,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
73,United Kingdom,67,670000,53.2671,1.3778,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
74,China,62,620000,29.5814,122.2286,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
75,France,62,620000,48.857,-2.542,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
76,China,61,610000,38.3074,118.5609,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
77,China,61,610000,20.1437,109.4282,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
78,China,60,600000,39.4769,123.2027,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
79,China,60,600000,37.8351,120.3113,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
80,United Kingdom,60,600000,54.1164,-3.8162,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
81,China,59,590000,25.4058,119.3996,True,True,False,True,False,U1,Need bird direction data (radar/GPS) to advance to U2
