type,country,subregion,region,plant_name,unit_name,capacity_mw,status,start_year,technology,operator,owner,latitude,longitude,location_accuracy,gem_location_id,gem_unit_id
wind,Afghanistan,Southern Asia,Asia,Herat wind farm,1.0,43.0,construction,,Onshore,,77 Construction Contracting & Trading Co [100%],34.3529,62.204,approximate,L100000900709,G100000900812
wind,Afghanistan,Southern Asia,Asia,Herat wind farm,,157.0,announced,,Onshore,,,34.3529,62.204,approximate,L100000900709,G100001054335
wind,Afghanistan,Southern Asia,Asia,Iran-Afghanistan wind farm,1.0,25.0,shelved - inferred 2 y,,Onshore,,,33.7823,60.6459,approximate,L100000900959,G100000908161
wind,Afghanistan,Southern Asia,Asia,Iran-Afghanistan wind farm,2.0,25.0,shelved - inferred 2 y,,Onshore,,,33.7823,60.6459,approximate,L100000900959,G100000901101
wind,Åland Islands,Northern Europe,Europe,Åland Energy Island wind farm,--,1000.0,announced,,Offshore mount unknown,,Lhyfe; Copenhagen Infrastructure Partners P/S; Flexens,59.6128,20.1957,approximate,L100001080832,G100001090786
wind,Åland Islands,Northern Europe,Europe,Båtskär wind farm,--,14.0,operating,2007.0,Onshore,,Leovind Ab [100%],59.9589,19.9543,exact,L100000909808,G100000912593
wind,Åland Islands,Northern Europe,Europe,Långnabba wind farm,--,40.0,operating,2022.0,Offshore mount unknown,,Vind AX AB [100%],60.1368,19.5655,exact,L100000914431,G100000917884
wind,Åland Islands,Northern Europe,Europe,Noatun Nord wind farm,--,5000.0,pre-construction,,Offshore mount unknown,,OX2 AB; Ålandsbanken [100%],60.6241,19.9197,approximate,L100000919278,G100000923761
wind,Åland Islands,Northern Europe,Europe,Noatun Syd wind farm,--,3000.0,pre-construction,,Offshore mount unknown,,OX2 AB; Ålandsbanken [100%],59.7503,20.4692,approximate,L100000919279,G100000923762
wind,Åland Islands,Northern Europe,Europe,Stenarna wind farm,--,20.0,shelved - inferred 2 y,,Onshore,,Ålands; Leovind Ab; Ålands Vindenergi Andelslag (ÅVA); Ålands Vindkraft AB,60.1191,19.6843,exact,L100000911703,G100000914717
wind,Åland Islands,Northern Europe,Europe,Stormskär wind farm,--,2000.0,pre-construction,,Offshore mount unknown,,Ilmatar Energy Oy [100%],60.6241,19.9197,approximate,L100000919280,G100000923763
wind,Åland Islands,Northern Europe,Europe,Sunnanvind wind farm,--,4000.0,announced,,Onshore,,Sunnanvind,60.8199,19.7687,approximate,L100001080830,G100001090776
