farm_id,n_turbines,pc1_angle,explained_var_ratio,centroid_lat,centroid_lon,lat_range_km,lon_range_km,med_hub_height,med_rotor_diam,med_capacity_kw,med_start_year,n_hub_height,n_rotor,n_capacity,n_start_year
1346,746,165.9,0.5518,43.5306,-7.7393,32.19,22.82,78.0,46.0,0.7,,4,0,180,0
2712,623,114.78,0.6347,43.4705,-7.5504,20.41,15.29,114.0,74.0,750.0,,5,0,52,0
736,480,36.36,0.9468,56.8683,8.5154,39.18,31.83,46.0,44.0,0.6,1997.0,56,56,56,56
1012,475,27.01,0.6942,41.7331,-1.3213,23.76,21.47,105.0,52.0,850.0,2025.0,70,418,428,7
171,458,27.79,0.7497,51.5965,8.818,22.71,20.26,149.0,92.0,3000.0,2013.0,278,122,310,69
2725,442,70.18,0.859,41.2537,-0.9813,45.71,20.91,85.0,130.0,3650.0,2023.0,230,289,408,9
3602,421,166.3,0.8762,65.3713,20.777,22.27,18.73,131.0,137.0,3600.0,2019.0,408,408,408,408
183,415,6.79,0.6543,54.213,8.9618,20.31,15.1,100.2,104.0,2300.0,2016.5,68,10,195,8
2205,410,142.68,0.7133,41.5672,-1.1156,15.29,14.93,85.0,130.0,950.0,,46,83,110,0
680,397,27.45,0.9543,42.5874,-1.5177,14.63,23.81,33.4,47.0,660.0,,0,117,155,0
1080,370,0.36,0.957,53.6307,7.4002,14.2,22.05,135.0,101.0,2300.0,,28,0,85,0
269,362,168.36,0.8204,53.9636,9.0083,15.47,16.43,92.0,115.0,3.2,2016.0,47,15,168,52
1567,342,3.8,0.6945,36.1605,-5.7755,9.55,10.72,56.2,74.0,0.8,,0,0,342,0
404,342,135.53,0.7213,54.7305,9.196,28.72,18.04,92.5,72.0,3000.0,2011.0,102,16,233,21
844,282,52.57,0.7746,27.8327,-15.436,9.36,7.47,30.4,40.0,0.9,,0,0,21,0
934,273,9.43,0.8387,38.9937,-1.4199,7.1,15.02,35.7,47.0,660.0,,0,0,0,0
51,272,17.11,0.8271,52.3674,5.4423,17.79,19.64,98.0,104.0,3400.0,2020.0,53,62,45,25
3246,270,132.2,0.7805,55.021,-4.8119,21.51,11.33,88.0,114.0,5400.0,2028.0,0,0,63,21
1704,264,0.39,0.8658,55.6763,-4.2798,9.78,11.31,130.0,99.8,2300.0,,30,0,246,0
32,262,49.85,0.7132,53.4324,7.1317,26.85,14.75,135.0,71.0,2300.0,,31,0,47,0
1517,260,55.07,0.7108,41.7481,-5.0255,25.16,16.18,114.0,90.0,3465.0,,27,0,35,0
1310,255,14.17,0.9372,42.2171,-4.151,14.98,18.66,55.0,58.0,850.0,,116,175,173,0
4086,240,159.94,0.734,55.5973,-3.9656,22.56,15.67,150.0,103.0,4800.0,,13,0,114,0
4109,222,175.39,0.8454,55.304,-4.2279,8.75,10.25,82.0,133.0,4350.0,,121,84,222,0
2869,216,158.78,0.718,48.6649,4.0326,18.43,18.6,115.0,150.0,3000.0,2021.0,167,167,216,139
1010,215,22.62,0.9251,41.888,-1.5574,13.76,15.83,101.5,47.0,660.0,,64,201,215,0
4032,213,71.42,0.6439,55.4552,-3.5795,16.26,9.42,85.8,113.0,3200.0,,0,0,34,0
2113,202,28.13,0.8451,53.3864,13.9656,14.84,12.42,167.0,164.0,2300.0,2011.0,27,23,187,152
1516,201,30.5,0.8743,41.8834,-4.7933,18.9,20.57,114.0,77.0,1.9,,24,0,120,0
2610,199,147.11,0.8839,54.0173,-3.4998,20.03,16.45,80.0,120.0,3600.0,,0,0,199,0
14,195,154.38,0.8191,52.5639,12.8647,13.87,10.65,105.0,71.0,2000.0,2009.0,81,81,187,68
2964,187,13.42,0.7932,37.0524,-4.9714,9.35,11.61,84.0,90.0,2000.0,,10,0,187,0
1303,186,158.91,0.9327,42.8553,-9.0371,8.4,11.11,35.0,44.0,600.0,,0,0,0,0
997,182,44.69,0.5923,41.5038,-0.925,10.64,6.53,60.7,80.0,1670.0,,0,0,1,0
985,181,146.3,0.9476,42.6851,-3.5833,10.79,11.5,55.0,48.0,0.8,,0,181,181,0
1348,181,175.74,0.9881,41.2942,-3.1279,4.24,20.25,67.0,46.0,660.0,,124,148,148,0
1056,179,147.27,0.8293,42.0118,-6.8205,12.72,9.94,66.0,87.0,2000.0,,0,0,0,0
1001,174,13.16,0.6742,42.4336,-3.795,16.03,13.91,85.0,77.0,1500.0,,57,145,170,0
2282,174,175.74,0.9574,38.6929,-2.1139,6.3,18.76,55.0,52.0,850.0,,0,0,0,0
2766,173,14.22,0.9469,55.7843,-3.6943,16.53,16.61,58.4,77.0,2300.0,2005.0,0,0,89,61
2284,171,28.6,0.9619,38.7583,-1.5279,11.88,15.76,35.7,47.0,660.0,,0,0,0,0
279,171,142.5,0.9545,54.619,8.9128,14.6,8.89,91.0,82.0,3300.0,2013.0,30,0,118,9
3208,170,150.22,0.9118,41.9766,-2.2971,12.18,13.84,39.5,52.0,800.0,,0,71,71,0
1260,170,125.99,0.8769,42.3046,-8.2891,15.82,8.62,33.4,44.0,600.0,,0,0,0,0
1114,166,5.59,0.8741,39.4631,-2.2148,5.68,8.76,53.5,70.5,1500.0,,0,0,0,0
609,162,56.21,0.9693,28.1385,-16.4691,15.59,8.41,40.0,52.0,0.3,,73,0,59,0
5159,160,4.93,0.9202,53.4584,-3.5855,8.06,15.17,98.0,107.0,3600.0,,0,0,160,0
2066,159,3.39,0.9183,53.2803,6.4748,18.77,38.11,15.0,31.0,0.0,,23,0,1,0
2876,158,118.8,0.6947,48.7798,4.4177,16.56,10.52,90.0,100.0,2200.0,2018.0,149,144,158,144
3346,157,33.5,0.954,41.0998,0.3963,20.44,19.17,68.3,93.0,2300.0,,0,29,122,0
2063,152,37.64,0.8255,56.7944,8.7373,26.67,22.71,89.5,101.0,3.0,2014.0,11,11,11,11
2838,152,177.29,0.9629,55.9058,-2.5113,6.45,12.81,71.0,82.0,2300.0,,2,60,84,0
