farm_id,budget,theta_econ,theta_eco,aep_cost_pct,risk_reduction,country,capacity_kW,group
0,0.005,0.0,30.0,0.4584,0.5436,China,9280000,East Asia
0,0.01,0.0,40.0,0.6892,0.6882,China,9280000,East Asia
0,0.02,0.0,60.0,1.4438,0.8153,China,9280000,East Asia
0,0.05,0.0,60.0,1.4438,0.8153,China,9280000,East Asia
1,0.005,0.0,40.0,0.3674,0.6882,China,5890000,East Asia
1,0.01,0.0,50.0,0.6937,0.7826,China,5890000,East Asia
1,0.02,0.0,60.0,1.2343,0.8153,China,5890000,East Asia
1,0.05,0.0,60.0,1.2343,0.8153,China,5890000,East Asia
2,0.005,20.0,50.0,0.1543,0.9008,Belgium,5720000,Europe (direction data)
2,0.01,20.0,50.0,0.1543,0.9008,Belgium,5720000,Europe (direction data)
2,0.02,20.0,50.0,0.1543,0.9008,Belgium,5720000,Europe (direction data)
2,0.05,20.0,50.0,0.1543,0.9008,Belgium,5720000,Europe (direction data)
3,0.005,10.0,30.0,0.3935,0.4451,China,4430000,East Asia
3,0.01,10.0,40.0,0.8539,0.6209,China,4430000,East Asia
3,0.02,10.0,50.0,1.5423,0.7357,China,4430000,East Asia
3,0.05,10.0,60.0,2.632,0.7755,China,4430000,East Asia
4,0.005,40.0,50.0,0.215,0.3028,China,3640000,East Asia
4,0.01,40.0,50.0,0.215,0.3028,China,3640000,East Asia
4,0.02,40.0,60.0,1.1869,0.4078,China,3640000,East Asia
4,0.05,40.0,60.0,1.1869,0.4078,China,3640000,East Asia
5,0.005,150.0,50.0,0.1757,0.9747,United Kingdom,3390000,Europe (direction data)
5,0.01,150.0,50.0,0.1757,0.9747,United Kingdom,3390000,Europe (direction data)
5,0.02,150.0,50.0,0.1757,0.9747,United Kingdom,3390000,Europe (direction data)
5,0.05,150.0,50.0,0.1757,0.9747,United Kingdom,3390000,Europe (direction data)
6,0.005,170.0,0.0,0.2257,0.1263,China,2930000,East Asia
6,0.01,170.0,10.0,0.8112,0.2813,China,2930000,East Asia
6,0.02,170.0,20.0,1.8964,0.4462,China,2930000,East Asia
6,0.05,170.0,40.0,4.3902,0.7276,China,2930000,East Asia
7,0.005,160.0,50.0,0.3565,0.972,Netherlands,2840000,Europe (direction data)
7,0.01,160.0,50.0,0.3565,0.972,Netherlands,2840000,Europe (direction data)
7,0.02,160.0,50.0,0.3565,0.972,Netherlands,2840000,Europe (direction data)
