farm_id,budget,theta_econ,theta_eco,aep_cost_pct,risk_reduction,risk_reduction_pct,country,capacity_kW
0,0.005,0.0,30.0,0.4584,0.5436,54.36,China,9280000
0,0.01,0.0,40.0,0.6892,0.6882,68.82,China,9280000
0,0.02,0.0,60.0,1.4438,0.8153,81.53,China,9280000
0,0.05,0.0,60.0,1.4438,0.8153,81.53,China,9280000
1,0.005,0.0,40.0,0.3674,0.6882,68.82,China,5890000
1,0.01,0.0,50.0,0.6937,0.7825,78.25,China,5890000
1,0.02,0.0,60.0,1.2343,0.8153,81.53,China,5890000
1,0.05,0.0,60.0,1.2343,0.8153,81.53,China,5890000
2,0.005,20.0,30.0,0.0569,0.956,95.6,Belgium,5720000
2,0.01,20.0,30.0,0.0569,0.956,95.6,Belgium,5720000
2,0.02,20.0,30.0,0.0569,0.956,95.6,Belgium,5720000
2,0.05,20.0,30.0,0.0569,0.956,95.6,Belgium,5720000
3,0.005,10.0,30.0,0.3935,0.4451,44.51,China,4430000
3,0.01,10.0,40.0,0.8539,0.6209,62.09,China,4430000
3,0.02,10.0,50.0,1.5423,0.7357,73.57,China,4430000
3,0.05,10.0,60.0,2.632,0.7755,77.55,China,4430000
4,0.005,40.0,50.0,0.215,0.3027,30.27,China,3640000
4,0.01,40.0,50.0,0.215,0.3027,30.27,China,3640000
4,0.02,40.0,60.0,1.1869,0.4078,40.78,China,3640000
4,0.05,40.0,60.0,1.1869,0.4078,40.78,China,3640000
5,0.005,150.0,30.0,0.1406,0.9977,99.77,United Kingdom,3390000
5,0.01,150.0,30.0,0.1406,0.9977,99.77,United Kingdom,3390000
5,0.02,150.0,30.0,0.1406,0.9977,99.77,United Kingdom,3390000
5,0.05,150.0,30.0,0.1406,0.9977,99.77,United Kingdom,3390000
6,0.005,170.0,0.0,0.2257,0.1263,12.63,China,2930000
6,0.01,170.0,10.0,0.8112,0.2813,28.13,China,2930000
6,0.02,170.0,20.0,1.8964,0.4462,44.62,China,2930000
6,0.05,170.0,40.0,4.3902,0.7276,72.76,China,2930000
7,0.005,160.0,80.0,0.2978,0.8446,84.46,Netherlands,2840000
7,0.01,160.0,80.0,0.2978,0.8446,84.46,Netherlands,2840000
7,0.02,160.0,80.0,0.2978,0.8446,84.46,Netherlands,2840000
7,0.05,160.0,80.0,0.2978,0.8446,84.46,Netherlands,2840000
8,0.005,170.0,20.0,0.495,0.4462,44.62,China,2780000
8,0.01,170.0,30.0,0.8606,0.6012,60.12,China,2780000
8,0.02,170.0,70.0,1.7297,0.81,81.0,China,2780000
8,0.05,170.0,60.0,2.6411,0.8387,83.87,China,2780000
9,0.005,140.0,50.0,0.4872,0.8473,84.73,United Kingdom,2670000
9,0.01,140.0,50.0,0.4872,0.8473,84.73,United Kingdom,2670000
9,0.02,140.0,50.0,0.4872,0.8473,84.73,United Kingdom,2670000
9,0.05,140.0,50.0,0.4872,0.8473,84.73,United Kingdom,2670000
10,0.005,160.0,50.0,0.4033,0.821,82.1,United Kingdom,2460000
10,0.01,160.0,50.0,0.4033,0.821,82.1,United Kingdom,2460000
10,0.02,160.0,50.0,0.4033,0.821,82.1,United Kingdom,2460000
10,0.05,160.0,50.0,0.4033,0.821,82.1,United Kingdom,2460000
11,0.005,10.0,30.0,0.4658,0.2908,29.08,Germany,2460000
11,0.01,10.0,80.0,0.7958,0.8282,82.82,Germany,2460000
11,0.02,10.0,80.0,0.7958,0.8282,82.82,Germany,2460000
11,0.05,10.0,80.0,0.7958,0.8282,82.82,Germany,2460000
12,0.005,60.0,60.0,0.0,0.0,0.0,China,2440000
12,0.01,60.0,60.0,0.0,0.0,0.0,China,2440000
12,0.02,60.0,60.0,0.0,0.0,0.0,China,2440000
12,0.05,60.0,60.0,0.0,0.0,0.0,China,2440000
13,0.005,90.0,90.0,0.0,0.0,0.0,United Kingdom,2150000
13,0.01,90.0,60.0,0.5005,0.6464,64.64,United Kingdom,2150000
13,0.02,90.0,50.0,1.0697,0.7351,73.51,United Kingdom,2150000
13,0.05,90.0,50.0,1.0697,0.7351,73.51,United Kingdom,2150000
14,0.005,150.0,140.0,0.1791,0.0258,2.58,China,1890000
14,0.01,150.0,170.0,0.7158,0.1,10.0,China,1890000
14,0.02,150.0,50.0,1.5596,0.829,82.9,China,1890000
14,0.05,150.0,60.0,2.0019,0.8548,85.48,China,1890000
15,0.005,90.0,80.0,0.0778,0.1763,17.63,Netherlands,1820000
15,0.01,90.0,80.0,0.0778,0.1763,17.63,Netherlands,1820000
15,0.02,90.0,80.0,0.0778,0.1763,17.63,Netherlands,1820000
15,0.05,90.0,80.0,0.0778,0.1763,17.63,Netherlands,1820000
16,0.005,0.0,80.0,0.1792,0.8424,84.24,Netherlands,1780000
16,0.01,0.0,80.0,0.1792,0.8424,84.24,Netherlands,1780000
16,0.02,0.0,80.0,0.1792,0.8424,84.24,Netherlands,1780000
16,0.05,0.0,80.0,0.1792,0.8424,84.24,Netherlands,1780000
17,0.005,20.0,50.0,0.3786,0.7626,76.26,United Kingdom,1750000
17,0.01,20.0,50.0,0.3786,0.7626,76.26,United Kingdom,1750000
17,0.02,20.0,60.0,1.0732,0.8471,84.71,United Kingdom,1750000
17,0.05,20.0,60.0,1.0732,0.8471,84.71,United Kingdom,1750000
18,0.005,90.0,80.0,0.172,0.1763,17.63,Germany,1740000
18,0.01,90.0,80.0,0.172,0.1763,17.63,Germany,1740000
18,0.02,90.0,80.0,0.172,0.1763,17.63,Germany,1740000
18,0.05,90.0,80.0,0.172,0.1763,17.63,Germany,1740000
19,0.005,20.0,50.0,0.3347,0.6569,65.69,China,1710000
19,0.01,20.0,60.0,0.9597,0.7086,70.86,China,1710000
19,0.02,20.0,60.0,0.9597,0.7086,70.86,China,1710000
19,0.05,20.0,60.0,0.9597,0.7086,70.86,China,1710000
20,0.005,10.0,60.0,0.4673,0.7315,73.15,Netherlands,1670000
20,0.01,10.0,80.0,0.5817,0.8282,82.82,Netherlands,1670000
20,0.02,10.0,80.0,0.5817,0.8282,82.82,Netherlands,1670000
20,0.05,10.0,80.0,0.5817,0.8282,82.82,Netherlands,1670000
